Date,VALE3.SA,BBAS3.SA,PETR4.SA
2019-05-31 00:00:00-03:00,0.0,0.414838,0.1
2019-06-30 00:00:00-03:00,0.0,0.171054,0.0
2019-07-31 00:00:00-03:00,0.0,0.0,0.0
2019-08-31 00:00:00-03:00,0.0,0.446155,0.2
2019-09-30 00:00:00-03:00,0.0,0.232955,0.0
2019-10-31 00:00:00-03:00,0.0,0.0,0.0
2019-11-30 00:00:00-03:00,0.0,0.365042,0.200925
2019-12-31 00:00:00-03:00,1.414364,0.176174,0.421942
2020-01-31 00:00:00-03:00,0.0,0.0,0.0
2020-02-29 00:00:00-03:00,0.0,0.438882,0.0
2020-03-31 00:00:00-03:00,0.0,0.18142,0.0
2020-04-30 00:00:00-03:00,0.0,0.0,0.000898
2020-05-31 00:00:00-03:00,0.0,0.0,0.0
2020-06-30 00:00:00-03:00,0.0,0.0,0.0
2020-07-31 00:00:00-03:00,0.0,0.0,0.000461
2020-08-31 00:00:00-03:00,0.0,0.441988,0.0
2020-09-30 00:00:00-03:00,2.40751,0.102862,0.0
2020-10-31 00:00:00-03:00,0.0,0.0,0.0
2020-11-30 00:00:00-03:00,0.0,0.194773,0.0
2020-12-31 00:00:00-03:00,0.0,0.116984,0.0
2021-01-31 00:00:00-03:00,0.0,0.0,0.0
2021-02-28 00:00:00-03:00,0.0,0.435863,0.0
2021-03-31 00:00:00-03:00,4.261646,0.145714,0.0
2021-04-30 00:00:00-03:00,0.0,0.0,0.792834
2021-05-31 00:00:00-03:00,0.0,0.414445,0.0
2021-06-30 00:00:00-03:00,2.18967,0.168519,0.0
2021-07-31 00:00:00-03:00,0.0,0.0,0.0
2021-08-31 00:00:00-03:00,0.0,0.348288,1.609911
2021-09-30 00:00:00-03:00,8.197239,0.184739,0.0
2021-10-31 00:00:00-03:00,0.0,0.0,0.0
2021-11-30 00:00:00-03:00,0.0,0.393703,0.0
2021-12-31 00:00:00-03:00,0.0,0.174991,3.250487
2022-01-31 00:00:00-03:00,0.0,0.0,0.0
2022-02-28 00:00:00-03:00,0.0,0.0,0.0
2022-03-31 00:00:00-03:00,3.719256,1.035349,0.0
2022-04-30 00:00:00-03:00,0.0,0.0,2.970249
2022-05-31 00:00:00-03:00,0.0,0.155347,3.71549
2022-06-30 00:00:00-03:00,0.0,0.250285,0.0
2022-07-31 00:00:00-03:00,0.0,0.0,0.0
2022-08-31 00:00:00-03:00,3.572057,0.204622,6.732003
2022-09-30 00:00:00-03:00,0.0,0.273736,0.0
2022-10-31 00:00:00-03:00,0.0,0.0,0.0
2022-11-30 00:00:00-03:00,0.0,0.170206,3.3489
2022-12-31 00:00:00-03:00,0.292013,0.345525,0.0
2023-01-31 00:00:00-03:00,0.0,0.0,0.0
2023-02-28 00:00:00-03:00,0.0,0.826881,0.0
2023-03-31 00:00:00-03:00,1.827646,0.352037,0.0
2023-04-30 00:00:00-03:00,0.0,0.0,2.870493
2023-05-31 00:00:00-03:00,0.0,0.0,0.0
2023-06-30 00:00:00-03:00,0.0,0.993051,1.893576
2023-07-31 00:00:00-03:00,0.0,0.0,0.0
2023-08-31 00:00:00-03:00,1.918472,0.668883,1.149304
2023-09-30 00:00:00-03:00,0.0,0.334197,0.0
